Date,Equity
2025-04-07,108144.34079150857
2025-04-08,108144.34079150857
2025-04-09,108144.34079150857
2025-04-10,108144.34079150857
2025-04-11,108144.34079150857
2025-04-14,108144.34079150857
2025-04-15,108144.34079150857
2025-04-16,108144.34079150857
2025-04-17,108144.34079150857
2025-04-22,108144.34079150857
2025-04-23,108144.34079150857
2025-04-24,108144.34079150857
2025-04-25,108473.1719303653
2025-04-28,110117.32762464895
2025-04-29,109295.24977750712
2025-04-30,109788.49648579225
2025-05-02,109336.35366986423
2025-05-05,108678.69139215075
2025-05-06,106623.49677429616
2025-05-07,107363.36683672381
2025-05-08,108514.2758227224
2025-05-09,110281.74319407734
2025-05-12,113446.74290557341
2025-05-13,114638.75578392907
2025-05-14,113487.84679793051
2025-05-15,114145.50907564396
2025-05-16,112912.39230493121
2025-05-19,113652.26236735887
2025-05-20,113323.43122850213
2025-05-21,112172.52224250355
2025-05-22,110569.47044057697
2025-05-23,110569.47044057697
2025-05-26,110569.47044057697
2025-05-27,109791.67705354588
2025-05-28,108891.074184352
2025-05-30,108891.074184352
2025-06-02,108891.074184352
2025-06-03,108891.074184352
2025-06-04,108891.074184352
2025-06-05,108891.074184352
2025-06-09,108891.074184352
2025-06-10,108891.074184352
2025-06-11,106587.1427706519
2025-06-12,105253.28774166762
2025-06-13,106465.8832225624
2025-06-16,105495.8068378466
2025-06-17,105495.8068378466
2025-06-18,105495.8068378466
2025-06-19,105495.8068378466
2025-06-23,105495.8068378466
2025-06-24,105495.8068378466
2025-06-25,105495.8068378466
2025-06-26,105495.8068378466
2025-06-27,105495.8068378466
2025-06-30,103698.4708694981
2025-07-01,104636.21137472341
2025-07-02,106277.25725886768
2025-07-03,103542.1807852939
2025-07-04,102526.29523796646
2025-07-07,102838.87540637491
2025-07-08,104558.06633262131
2025-07-09,106042.82213256136
2025-07-10,107801.0855798588
2025-07-11,105613.02440099977
2025-07-14,105261.37171154027
2025-07-15,104948.79154313185
2025-07-16,107449.43289039932
2025-07-17,102760.73036427281
2025-07-18,102760.73036427281
2025-07-21,102760.73036427281
2025-07-22,102760.73036427281
2025-07-23,108461.32562535656
2025-07-24,106248.59457006748
2025-07-25,110073.99402158419
2025-07-28,106661.13764817221
2025-07-29,106061.07498911077
2025-07-30,106323.60240245015
2025-07-31,104073.36743096972
2025-08-01,102760.73036427281
2025-08-04,102760.73036427281
2025-08-05,102760.73036427281
2025-08-06,102760.73036427281
2025-08-07,106060.04674321233
2025-08-08,107617.02750630736
2025-08-11,107135.10488915889
2025-08-12,107876.52430015652
2025-08-13,107394.60168300806
2025-08-14,109099.86632830264
2025-08-15,108543.80177005442
2025-08-18,107579.95653575748
2025-08-19,109507.64700435133
2025-08-20,109618.85991600098
2025-08-21,108877.44050500334
2025-08-22,111138.76970854614
2025-08-25,109359.3631221518
2025-08-26,109581.7889454511
2025-08-27,108469.65982895465
2025-08-28,107876.52430015652
2025-08-29,107987.73721180618
2025-09-01,106801.46615420996
2025-09-02,106801.46615420996
2025-09-03,106801.46615420996
2025-09-04,106801.46615420996
