Date,Equity
2025-04-03,99018.29540383758
2025-04-04,99018.29540383758
2025-04-07,99018.29540383758
2025-04-08,99018.29540383758
2025-04-09,99018.29540383758
2025-04-10,99018.29540383758
2025-04-11,99018.29540383758
2025-04-14,99018.29540383758
2025-04-15,99018.29540383758
2025-04-16,99018.29540383758
2025-04-17,99018.29540383758
2025-04-22,99018.29540383758
2025-04-23,99018.29540383758
2025-04-24,99018.29540383758
2025-04-25,99018.29540383758
2025-04-28,99018.29540383758
2025-04-29,99018.29540383758
2025-04-30,99018.29540383758
2025-05-02,99018.29540383758
2025-05-05,99018.29540383758
2025-05-06,99018.29540383758
2025-05-07,99018.29540383758
2025-05-08,99018.29540383758
2025-05-09,99018.29540383758
2025-05-12,99018.29540383758
2025-05-13,99018.29540383758
2025-05-14,99018.29540383758
2025-05-15,99018.29540383758
2025-05-16,99018.29540383758
2025-05-19,100477.83583259858
2025-05-20,100401.01791529535
2025-05-21,99171.931238444
2025-05-22,98557.38790001832
2025-05-23,98557.38790001832
2025-05-26,98557.38790001832
2025-05-27,98557.38790001832
2025-05-28,98557.38790001832
2025-05-30,98557.38790001832
2025-06-02,98557.38790001832
2025-06-03,98557.38790001832
2025-06-04,98557.38790001832
2025-06-05,98557.38790001832
2025-06-09,98557.38790001832
2025-06-10,98557.38790001832
2025-06-11,98557.38790001832
2025-06-12,98557.38790001832
2025-06-13,98557.38790001832
2025-06-16,98557.38790001832
2025-06-17,98557.38790001832
2025-06-18,98557.38790001832
2025-06-19,98557.38790001832
2025-06-23,98557.38790001832
2025-06-24,98557.38790001832
2025-06-25,98557.38790001832
2025-06-26,98557.38790001832
2025-06-27,98557.38790001832
2025-06-30,98557.38790001832
2025-07-01,98557.38790001832
2025-07-02,98557.38790001832
2025-07-03,98557.38790001832
2025-07-04,98557.38790001832
2025-07-07,98557.38790001832
2025-07-08,98557.38790001832
2025-07-09,98557.38790001832
2025-07-10,98557.38790001832
2025-07-11,98557.38790001832
2025-07-14,98557.38790001832
2025-07-15,98557.38790001832
2025-07-16,98557.38790001832
2025-07-17,98557.38790001832
2025-07-18,98557.38790001832
2025-07-21,98557.38790001832
2025-07-22,98557.38790001832
2025-07-23,98557.38790001832
2025-07-24,98557.38790001832
2025-07-25,98557.38790001832
2025-07-28,98557.38790001832
2025-07-29,98557.38790001832
2025-07-30,98557.38790001832
2025-07-31,98557.38790001832
2025-08-01,98557.38790001832
2025-08-04,98557.38790001832
2025-08-05,98557.38790001832
2025-08-06,98557.38790001832
2025-08-07,98557.38790001832
2025-08-08,98557.38790001832
2025-08-11,98557.38790001832
2025-08-12,98557.38790001832
2025-08-13,98557.38790001832
2025-08-14,98557.38790001832
2025-08-15,98557.38790001832
2025-08-18,98557.38790001832
2025-08-19,98557.38790001832
2025-08-20,98557.38790001832
2025-08-21,98557.38790001832
2025-08-22,98557.38790001832
2025-08-25,98557.38790001832
2025-08-26,98557.38790001832
2025-08-27,98557.38790001832
2025-08-28,97837.11466323378
2025-08-29,96636.65926859286
2025-09-01,96636.65926859286
2025-09-02,96636.65926859286
2025-09-03,96636.65926859286
