Ticker,Name,MIC,Date,Close,Score,RSI,RSI_cross_up,MACD_cross_up,Breakout20,Vol_spike
ALIV SDB,Autoliv,,2025-09-05,1165.0,0.1766,63.25,False,False,False,0.0
HOTEL,Hotel Fast,,2025-09-05,0.091,0.1763,27.96,False,False,False,1.763
MSAB B,Micro Systemation,,2025-09-05,63.0,0.1705,62.79,False,False,False,0.0
AVT B,Avtech,,2025-09-05,11.75,0.163,60.71,True,False,False,0.201
RROS,Rottneros,,2025-09-05,3.34,0.156,61.7,False,False,False,0.0
HPOL B,Hexpol,,2025-09-05,82.8,0.1552,47.83,False,False,False,1.552
MOB,Moberg Pharma,,2025-09-05,9.0,0.1513,60.65,False,False,False,0.092
PREC,Precise Biometrics,,2025-09-05,2.812,0.1487,61.15,False,False,False,0.0
BILL,Billerud,,2025-09-05,89.8,0.143,60.73,False,False,False,0.0
ENVI B,Envirologic,,2025-09-05,23.7,0.1404,60.53,False,False,False,0.0
ORRON,Orrön Energy,,2025-09-05,4.444,0.14,60.5,False,False,False,0.0
LOOMIS,Loomis,,2025-09-05,421.4,0.1333,60.0,False,False,False,0.0
STIL,Stille,,2025-09-05,230.0,0.1333,60.0,False,False,False,0.0
HMS,HMS Networks,,2025-09-05,445.8,0.1326,59.94,False,False,False,0.0
SKIS B,SkiStar,,2025-09-05,157.0,0.1325,57.59,False,False,False,0.313
VNV,VNV Global,,2025-09-05,23.06,0.1265,59.49,True,False,False,0.0
NMAN,Nederman,,2025-09-05,165.8,0.1256,41.27,False,False,False,1.256
LUMI,Lundin Mining,,2025-09-05,111.0,0.1232,59.24,False,False,False,0.0
GETI B,Getinge,,2025-09-05,209.8,0.1221,59.15,False,False,False,0.0
CEVI,CellaVision,,2025-09-05,167.0,0.1194,58.95,False,False,False,0.0
CTT,CTT Systems,,2025-09-05,225.5,0.1119,50.49,False,False,False,1.054
IVSO,Invisio,,2025-09-05,314.5,0.1111,58.33,False,False,False,0.0
